ca,ca_name,ca_date_enacted,ca_date_archived,hscp,hscp_name,hscp_date_enacted,hscp_date_archived,hb,hb_name,hb_date_enacted,hb_date_archived,country,ca_year_enacted,ca_month_enacted,ca_day_enacted,ca_year_archived,ca_month_archived,ca_day_archived,ca_period,hscp_year_enacted,hscp_month_enacted,hscp_day_enacted,hscp_year_archived,hscp_month_archived,hscp_day_archived,hscp_period,hb_year_enacted,hb_month_enacted,hb_day_enacted,hb_year_archived,hb_month_archived,hb_day_archived,hb_period
S12000005,clackmannanshire,1996-04-01,NA,S37000005,clackmannanshire_and_stirling,2016-04-01,NA,S08000019,nhs_forth_valley,2014-04-01,NA,S92000003,1996,4,1,NA,NA,NA,913939200s (~28.96 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2014,4,1,NA,NA,NA,345945600s (~10.96 years)
S12000006,dumfries_and_galloway,1996-04-01,NA,S37000006,dumfries_and_galloway,2016-04-01,NA,S08000017,nhs_dumfries_and_galloway,2014-04-01,NA,S92000003,1996,4,1,NA,NA,NA,913939200s (~28.96 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2014,4,1,NA,NA,NA,345945600s (~10.96 years)
S12000008,east_ayrshire,1996-04-01,NA,S37000008,east_ayrshire,2015-04-02,NA,S08000015,nhs_ayrshire_and_arran,2014-04-01,NA,S92000003,1996,4,1,NA,NA,NA,913939200s (~28.96 years),2015,4,2,NA,NA,NA,314323200s (~9.96 years),2014,4,1,NA,NA,NA,345945600s (~10.96 years)
S12000010,east_lothian,1996-04-01,NA,S37000010,east_lothian,2016-04-01,NA,S08000024,nhs_lothian,2014-04-01,NA,S92000003,1996,4,1,NA,NA,NA,913939200s (~28.96 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2014,4,1,NA,NA,NA,345945600s (~10.96 years)
S12000011,east_renfrewshire,1996-04-01,NA,S37000011,east_renfrewshire,2015-10-07,NA,S08000021,nhs_greater_glasgow_and_clyde,2014-04-01,2019-03-31,S92000003,1996,4,1,NA,NA,NA,913939200s (~28.96 years),2015,10,7,NA,NA,NA,298080000s (~9.45 years),2014,4,1,2019,3,31,157680000s (~5 years)
S12000011,east_renfrewshire,1996-04-01,NA,S37000011,east_renfrewshire,2015-10-07,NA,S08000031,nhs_greater_glasgow_and_clyde,2019-04-01,NA,S92000003,1996,4,1,NA,NA,NA,913939200s (~28.96 years),2015,10,7,NA,NA,NA,298080000s (~9.45 years),2019,4,1,NA,NA,NA,188179200s (~5.96 years)
S12000013,na_h-eileanan_siar,1996-04-01,NA,S37000031,western_isles,2016-04-01,NA,S08000028,nhs_western_isles,2014-04-01,NA,S92000003,1996,4,1,NA,NA,NA,913939200s (~28.96 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2014,4,1,NA,NA,NA,345945600s (~10.96 years)
S12000014,falkirk,1996-04-01,NA,S37000013,falkirk,2016-04-01,NA,S08000019,nhs_forth_valley,2014-04-01,NA,S92000003,1996,4,1,NA,NA,NA,913939200s (~28.96 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2014,4,1,NA,NA,NA,345945600s (~10.96 years)
S12000015,fife,1996-04-01,2018-02-01,S37000014,fife,2016-04-01,2018-02-01,S08000018,nhs_fife,2014-04-01,2018-02-01,S92000003,1996,4,1,2018,2,1,689126400s (~21.84 years),2016,4,1,2018,2,1,57974400s (~1.84 years),2014,4,1,2018,2,1,121132800s (~3.84 years)
S12000017,highland,1996-04-01,NA,S37000016,highland,2015-04-01,NA,S08000022,nhs_highland,2014-04-01,NA,S92000003,1996,4,1,NA,NA,NA,913939200s (~28.96 years),2015,4,1,NA,NA,NA,314409600s (~9.96 years),2014,4,1,NA,NA,NA,345945600s (~10.96 years)
S12000018,inverclyde,1996-04-01,NA,S37000017,inverclyde,2016-04-01,NA,S08000021,nhs_greater_glasgow_and_clyde,2014-04-01,2019-03-31,S92000003,1996,4,1,NA,NA,NA,913939200s (~28.96 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2014,4,1,2019,3,31,157680000s (~5 years)
S12000018,inverclyde,1996-04-01,NA,S37000017,inverclyde,2016-04-01,NA,S08000031,nhs_greater_glasgow_and_clyde,2019-04-01,NA,S92000003,1996,4,1,NA,NA,NA,913939200s (~28.96 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2019,4,1,NA,NA,NA,188179200s (~5.96 years)
S12000019,midlothian,1996-04-01,NA,S37000018,midlothian,2016-04-01,NA,S08000024,nhs_lothian,2014-04-01,NA,S92000003,1996,4,1,NA,NA,NA,913939200s (~28.96 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2014,4,1,NA,NA,NA,345945600s (~10.96 years)
S12000020,moray,1996-04-01,NA,S37000019,moray,2016-04-01,NA,S08000020,nhs_grampian,2014-04-01,NA,S92000003,1996,4,1,NA,NA,NA,913939200s (~28.96 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2014,4,1,NA,NA,NA,345945600s (~10.96 years)
S12000021,north_ayrshire,1996-04-01,NA,S37000020,north_ayrshire,2015-04-01,NA,S08000015,nhs_ayrshire_and_arran,2014-04-01,NA,S92000003,1996,4,1,NA,NA,NA,913939200s (~28.96 years),2015,4,1,NA,NA,NA,314409600s (~9.96 years),2014,4,1,NA,NA,NA,345945600s (~10.96 years)
S12000023,orkney_islands,1996-04-01,NA,S37000022,orkney_islands,2016-04-01,NA,S08000025,nhs_orkney,2014-04-01,NA,S92000003,1996,4,1,NA,NA,NA,913939200s (~28.96 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2014,4,1,NA,NA,NA,345945600s (~10.96 years)
S12000024,perth_and_kinross,1996-04-01,2018-02-01,S37000023,perth_and_kinross,2016-04-01,2018-02-01,S08000027,nhs_tayside,2014-04-01,2018-02-01,S92000003,1996,4,1,2018,2,1,689126400s (~21.84 years),2016,4,1,2018,2,1,57974400s (~1.84 years),2014,4,1,2018,2,1,121132800s (~3.84 years)
S12000026,scottish_borders,1996-04-01,NA,S37000025,scottish_borders,2016-04-01,NA,S08000016,nhs_borders,2014-04-01,NA,S92000003,1996,4,1,NA,NA,NA,913939200s (~28.96 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2014,4,1,NA,NA,NA,345945600s (~10.96 years)
S12000027,shetland_islands,1996-04-01,NA,S37000026,shetland_islands,2016-04-01,NA,S08000026,nhs_shetland,2014-04-01,NA,S92000003,1996,4,1,NA,NA,NA,913939200s (~28.96 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2014,4,1,NA,NA,NA,345945600s (~10.96 years)
S12000028,south_ayrshire,1996-04-01,NA,S37000027,south_ayrshire,2015-04-02,NA,S08000015,nhs_ayrshire_and_arran,2014-04-01,NA,S92000003,1996,4,1,NA,NA,NA,913939200s (~28.96 years),2015,4,2,NA,NA,NA,314323200s (~9.96 years),2014,4,1,NA,NA,NA,345945600s (~10.96 years)
S12000029,south_lanarkshire,1996-04-01,NA,S37000028,south_lanarkshire,2016-04-01,NA,S08000023,nhs_lanarkshire,2014-04-01,2019-03-31,S92000003,1996,4,1,NA,NA,NA,913939200s (~28.96 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2014,4,1,2019,3,31,157680000s (~5 years)
S12000029,south_lanarkshire,1996-04-01,NA,S37000028,south_lanarkshire,2016-04-01,NA,S08000032,nhs_lanarkshire,2019-04-01,NA,S92000003,1996,4,1,NA,NA,NA,913939200s (~28.96 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2019,4,1,NA,NA,NA,188179200s (~5.96 years)
S12000030,stirling,1996-04-01,NA,S37000005,clackmannanshire_and_stirling,2016-04-01,NA,S08000019,nhs_forth_valley,2014-04-01,NA,S92000003,1996,4,1,NA,NA,NA,913939200s (~28.96 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2014,4,1,NA,NA,NA,345945600s (~10.96 years)
S12000033,aberdeen_city,2002-06-01,NA,S37000001,aberdeen_city,2016-04-01,NA,S08000020,nhs_grampian,2014-04-01,NA,S92000003,2002,6,1,NA,NA,NA,719366400s (~22.8 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2014,4,1,NA,NA,NA,345945600s (~10.96 years)
S12000034,aberdeenshire,2002-06-01,NA,S37000002,aberdeenshire,2016-04-01,NA,S08000020,nhs_grampian,2014-04-01,NA,S92000003,2002,6,1,NA,NA,NA,719366400s (~22.8 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2014,4,1,NA,NA,NA,345945600s (~10.96 years)
S12000035,argyll_and_bute,2002-06-01,NA,S37000004,argyll_and_bute,2016-04-01,NA,S08000022,nhs_highland,2014-04-01,NA,S92000003,2002,6,1,NA,NA,NA,719366400s (~22.8 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2014,4,1,NA,NA,NA,345945600s (~10.96 years)
S12000036,city_of_edinburgh,2002-06-01,NA,S37000012,edinburgh,2016-04-01,NA,S08000024,nhs_lothian,2014-04-01,NA,S92000003,2002,6,1,NA,NA,NA,719366400s (~22.8 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2014,4,1,NA,NA,NA,345945600s (~10.96 years)
S12000038,renfrewshire,2002-06-01,NA,S37000024,renfrewshire,2016-04-01,NA,S08000021,nhs_greater_glasgow_and_clyde,2014-04-01,2019-03-31,S92000003,2002,6,1,NA,NA,NA,719366400s (~22.8 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2014,4,1,2019,3,31,157680000s (~5 years)
S12000038,renfrewshire,2002-06-01,NA,S37000024,renfrewshire,2016-04-01,NA,S08000031,nhs_greater_glasgow_and_clyde,2019-04-01,NA,S92000003,2002,6,1,NA,NA,NA,719366400s (~22.8 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2019,4,1,NA,NA,NA,188179200s (~5.96 years)
S12000039,west_dunbartonshire,2002-06-01,NA,S37000029,west_dunbartonshire,2015-07-01,NA,S08000021,nhs_greater_glasgow_and_clyde,2014-04-01,2019-03-31,S92000003,2002,6,1,NA,NA,NA,719366400s (~22.8 years),2015,7,1,NA,NA,NA,306547200s (~9.71 years),2014,4,1,2019,3,31,157680000s (~5 years)
S12000039,west_dunbartonshire,2002-06-01,NA,S37000029,west_dunbartonshire,2015-07-01,NA,S08000031,nhs_greater_glasgow_and_clyde,2019-04-01,NA,S92000003,2002,6,1,NA,NA,NA,719366400s (~22.8 years),2015,7,1,NA,NA,NA,306547200s (~9.71 years),2019,4,1,NA,NA,NA,188179200s (~5.96 years)
S12000040,west_lothian,2002-06-01,NA,S37000030,west_lothian,2016-04-01,NA,S08000024,nhs_lothian,2014-04-01,NA,S92000003,2002,6,1,NA,NA,NA,719366400s (~22.8 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2014,4,1,NA,NA,NA,345945600s (~10.96 years)
S12000041,angus,2010-04-01,NA,S37000003,angus,2016-04-01,NA,S08000027,nhs_tayside,2014-04-01,2018-02-01,S92000003,2010,4,1,NA,NA,NA,472176000s (~14.96 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2014,4,1,2018,2,1,121132800s (~3.84 years)
S12000041,angus,2010-04-01,NA,S37000003,angus,2016-04-01,NA,S08000030,nhs_tayside,2018-02-02,NA,S92000003,2010,4,1,NA,NA,NA,472176000s (~14.96 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2018,2,2,NA,NA,NA,224726400s (~7.12 years)
S12000042,dundee_city,2010-04-01,NA,S37000007,dundee_city,2016-04-01,NA,S08000027,nhs_tayside,2014-04-01,2018-02-01,S92000003,2010,4,1,NA,NA,NA,472176000s (~14.96 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2014,4,1,2018,2,1,121132800s (~3.84 years)
S12000042,dundee_city,2010-04-01,NA,S37000007,dundee_city,2016-04-01,NA,S08000030,nhs_tayside,2018-02-02,NA,S92000003,2010,4,1,NA,NA,NA,472176000s (~14.96 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2018,2,2,NA,NA,NA,224726400s (~7.12 years)
S12000044,north_lanarkshire,2010-04-01,2019-03-31,S37000021,north_lanarkshire,2016-04-01,2019-03-31,S08000023,nhs_lanarkshire,2014-04-01,2019-03-31,S92000003,2010,4,1,2019,3,31,283910400s (~9 years),2016,4,1,2019,3,31,94521600s (~3 years),2014,4,1,2019,3,31,157680000s (~5 years)
S12000045,east_dunbartonshire,2011-04-01,NA,S37000009,east_dunbartonshire,2016-04-01,NA,S08000021,nhs_greater_glasgow_and_clyde,2014-04-01,2019-03-31,S92000003,2011,4,1,NA,NA,NA,440640000s (~13.96 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2014,4,1,2019,3,31,157680000s (~5 years)
S12000045,east_dunbartonshire,2011-04-01,NA,S37000009,east_dunbartonshire,2016-04-01,NA,S08000031,nhs_greater_glasgow_and_clyde,2019-04-01,NA,S92000003,2011,4,1,NA,NA,NA,440640000s (~13.96 years),2016,4,1,NA,NA,NA,282787200s (~8.96 years),2019,4,1,NA,NA,NA,188179200s (~5.96 years)
S12000046,glasgow_city,2011-04-01,2019-03-31,S37000015,glasgow_city,2016-04-01,2019-03-31,S08000021,nhs_greater_glasgow_and_clyde,2014-04-01,2019-03-31,S92000003,2011,4,1,2019,3,31,252374400s (~8 years),2016,4,1,2019,3,31,94521600s (~3 years),2014,4,1,2019,3,31,157680000s (~5 years)
S12000047,fife,2018-02-02,NA,S37000032,fife,2018-02-02,NA,S08000029,nhs_fife,2018-02-02,NA,S92000003,2018,2,2,NA,NA,NA,224726400s (~7.12 years),2018,2,2,NA,NA,NA,224726400s (~7.12 years),2018,2,2,NA,NA,NA,224726400s (~7.12 years)
S12000048,perth_and_kinross,2018-02-02,NA,S37000033,perth_and_kinross,2018-02-02,NA,S08000030,nhs_tayside,2018-02-02,NA,S92000003,2018,2,2,NA,NA,NA,224726400s (~7.12 years),2018,2,2,NA,NA,NA,224726400s (~7.12 years),2018,2,2,NA,NA,NA,224726400s (~7.12 years)
S12000049,glasgow_city,2019-04-01,NA,S37000034,glasgow_city,2019-04-01,NA,S08000031,nhs_greater_glasgow_and_clyde,2019-04-01,NA,S92000003,2019,4,1,NA,NA,NA,188179200s (~5.96 years),2019,4,1,NA,NA,NA,188179200s (~5.96 years),2019,4,1,NA,NA,NA,188179200s (~5.96 years)
S12000050,north_lanarkshire,2019-04-01,NA,S37000035,north_lanarkshire,2019-04-01,NA,S08000032,nhs_lanarkshire,2019-04-01,NA,S92000003,2019,4,1,NA,NA,NA,188179200s (~5.96 years),2019,4,1,NA,NA,NA,188179200s (~5.96 years),2019,4,1,NA,NA,NA,188179200s (~5.96 years)
